Indexing started : 2026-03-16 16:11:45.977574
Device           : cpu (FP32)
Batch size       : 50
Folder           : ./assets40k
-----------------------------------------------------------------------------------------------
progress | decode | embed | db | total | CPU% RAM% GPU% VRAM | ETA
-----------------------------------------------------------------------------------------------
TurboJPEG        : not used (PIL sufficient at this batch size)
batch 1/814 (50/40670) | decode:0.35s embed:1.47s db:0.12s total:1.59s | CPU:25% RAM:88% GPU:N/A | ETA:21m34s
batch 2/814 (100/40670) | decode:0.56s embed:1.34s db:0.03s total:1.36s | CPU:78% RAM:88% GPU:N/A | ETA:20m55s
batch 3/814 (150/40670) | decode:0.67s embed:1.31s db:0.02s total:1.32s | CPU:79% RAM:88% GPU:N/A | ETA:20m18s
batch 4/814 (200/40670) | decode:0.81s embed:1.29s db:0.02s total:1.31s | CPU:74% RAM:88% GPU:N/A | ETA:19m45s
batch 5/814 (250/40670) | decode:0.49s embed:1.34s db:0.02s total:1.37s | CPU:76% RAM:88% GPU:N/A | ETA:19m28s
batch 6/814 (300/40670) | decode:0.57s embed:1.33s db:0.03s total:1.36s | CPU:78% RAM:88% GPU:N/A | ETA:19m12s
batch 7/814 (350/40670) | decode:0.52s embed:1.42s db:0.03s total:1.46s | CPU:76% RAM:88% GPU:N/A | ETA:19m16s
batch 8/814 (400/40670) | decode:0.52s embed:1.47s db:0.03s total:1.49s | CPU:72% RAM:88% GPU:N/A | ETA:19m24s
batch 9/814 (450/40670) | decode:0.55s embed:1.42s db:0.05s total:1.47s | CPU:77% RAM:88% GPU:N/A | ETA:19m27s
batch 10/814 (500/40670) | decode:0.54s embed:1.42s db:0.02s total:1.44s | CPU:76% RAM:88% GPU:N/A | ETA:19m25s
batch 11/814 (550/40670) | decode:0.56s embed:1.62s db:0.03s total:1.65s | CPU:81% RAM:88% GPU:N/A | ETA:19m56s
batch 12/814 (600/40670) | decode:0.63s embed:1.51s db:0.05s total:1.56s | CPU:76% RAM:88% GPU:N/A | ETA:20m5s
batch 13/814 (650/40670) | decode:0.59s embed:1.49s db:0.04s total:1.53s | CPU:70% RAM:88% GPU:N/A | ETA:20m9s
batch 14/814 (700/40670) | decode:0.55s embed:1.49s db:0.05s total:1.54s | CPU:80% RAM:88% GPU:N/A | ETA:20m12s
